trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-60.70765888494856,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-88.06290919633683,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-22.493604118779594,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-136.04165124535962,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-194.5392744340784,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-48.83187005872747,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-40.002942729039255,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-161.99731337506154,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-127.32445803901105,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-104.90700012218032,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,18,-36.9687851744619,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-99.64602158969404,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-50.099934858854226,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-12.582580545450798,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-140.86033311893536,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,17,-1.8467850103032892,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-174.89199713514543,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-85.81664701522216,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,1,-35.09020004336064,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-30.57764283145705,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-61.793800850357904,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-167.49920428679349,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-84.81983606348251,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,14,-7.899861804344141,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-104.7613453935551,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-111.40014734316206,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-84.58911871806069,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7482635675785653}",35,0,-203.82817304968896,"{0: 19, 1: 5, 2: 6, 3: 3, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,4,-175.58824031786483,"{0: 11, 1: 2, 2: 2, 3: 4, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.7334469562242892}",35,0,-168.63300303664815,"{0: 21, 1: 2, 2: 8, 3: 3, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-113.01081584956557,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-60.359731025487704,"{0: 23, 1: 0, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7117703227626097}",35,0,-167.56433501822198,"{0: 23, 1: 5, 2: 3, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-86.1832175521353,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.697676326071031}",20,14,-71.20166984849082,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-87.48178423204205,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,1,-95.71868133879639,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-69.75795726829284,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-24.180325259696076,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-36.1703767582386,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-108.86998179734009,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6505090947233165}",30,0,-78.13563670945834,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-7.355872436278702,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6376281516217733}",35,16,-18.814128347691412,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.631283645506926}",25,4,-63.658112764042166,"{0: 15, 1: 2, 2: 1, 3: 3, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-137.9811499878334,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-72.01271212323331,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6126263941844161}",20,0,-31.409575049423058,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,11,-3.606232514514514,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,5,5.159357390854749,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-46.01859922098129,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,0,-45.85489991950299,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5827482523739896}",25,0,-56.22927743345477,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-74.06153172001993,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,19,2.686643069436096,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-110.35218857853849,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-86.47787593127723,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,12,-13.854562552269222,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5488116360940265}",35,0,-30.097735297650814,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-95.81687101877179,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.5379444375946745}",30,0,1.8175894224706006,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,12,-17.826878235707422,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,14,18.399981913998328,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.522045776761016}",30,17,10.052057152522002,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,0,-47.8064310517771,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5117085777865424}",30,1,-45.938709454326734,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,7,0.9336417333485278,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,4,-58.74919374141784,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-21.345787319130167,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,1,1.9252320836901906,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-58.05829318950638,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,0,-24.73160957616471,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,12,-16.054122120259656,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,0,-26.050272204197988,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,1.969772193568142,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,5,-87.12378735459092,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-2.6102524801400673,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-54.76117677457521,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-63.75828388140455,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.4448580662229411}",30,22,1.7135912928895252,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,16,7.4227121893585775,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,12,7.350357016162165,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,6,22.4414134021563,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,0,2.0054011930063163,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,11,17.868225562808455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.418951549247639}",25,11,-25.16319428667565,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,6,-0.43607863018689264,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,20,0.9804178452452046,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,16,6.541434495039584,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,-58.46405430662458,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,0,-4.582870093233789,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,2,-1.5862281221798957,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,18,9.555981338165626,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,7,-24.79515650638784,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,17,-0.4374932644468694,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,2,-51.44966611716613,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,-84.63722953405647,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,5,-26.647024983970905,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.36787944117144233}",35,8,17.32938705581597,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,6,17.706118948471577,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3605949401730783}",35,20,24.031057988869343,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,4,-36.49109597700107,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,0,-59.0683954612177,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,8,-5.800748653651706,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,15,-34.02368510659668,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,0,13.317217915408634,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,12,0.7037341120664491,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3362164937067333}",30,8,-14.286407247498838,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33287108369807955}",30,16,-15.844783694828793,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,8,8.65797911201056,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,6,-36.75859371622712,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,7,23.7416384889842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
