trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.49999}",25,0,-97.2575611945114,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.49996999999999997}",20,5,-97.15559419485785,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.49994}",30,0,-202.3540347655474,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.4999}",30,0,-212.86695055530183,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.49985}",30,2,-148.81432086725962,"{0: 12, 1: 6, 2: 7, 3: 3, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.49979}",25,0,-171.5468869160433,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.49972}",20,0,-163.2784457595604,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.49964}",20,0,-91.92264468130506,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.49955}",30,1,-112.73021634535417,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.49945}",20,0,-153.01983540104987,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.49934}",25,0,-102.7347758264116,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.49922}",20,0,-133.20989772271233,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.49909}",25,0,-158.47200379314305,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.49895}",20,0,-165.64432202045177,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.4988}",25,0,-107.98545216997928,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.49864}",20,0,-66.06908218269275,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.49847}",30,0,-207.84465350301335,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.49829}",20,0,-97.97191703032797,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.4981}",20,0,-110.89491023351526,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
